mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
fp64,tiled,col_major,right,4096,512,3,40,40,39.80691,16.85859666,5.2538309e-16
fp64,tiled,col_major,right,4096,512,4,40,40,39.814428,16.85541332,5.2538309e-16
fp64,tiled,col_major,right,4096,512,5,40,40,46.413747,14.4588335,5.2538309e-16
fp64,tiled,col_major,right,4096,512,6,40,40,65.495098,10.24639493,5.2538309e-16
fp64,tiled,col_major,right,4096,512,7,40,40,39.901279,16.81872503,5.2538309e-16
fp64,tiled,col_major,right,4096,512,8,40,40,39.851396,16.83977746,5.2538309e-16
fp64,tiled,col_major,right,4096,512,9,40,40,40.258387,16.66953621,5.2538309e-16
fp32_fp64,tiled,col_major,right,4096,512,0,40,40,32.01183,20.96376996,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,1,40,40,31.994835,20.97490548,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,2,40,40,32.026568,20.95412284,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,3,40,40,32.000792,20.97100097,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,4,40,40,32.098398,20.90723157,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,5,40,40,32.002718,20.96973888,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,6,40,40,31.91057,21.0302931,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,7,40,40,32.06521,20.92887089,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,8,40,40,31.944993,21.00763146,4.947666588e-16
fp32_fp64,tiled,col_major,right,4096,512,9,40,40,31.963364,20.99555729,4.947666588e-16
fp32,tiled,col_major,right,4096,512,0,40,40,20.610847,32.55997388,1.256850958e-06
fp32,tiled,col_major,right,4096,512,1,40,40,20.619989,32.54553822,1.256850958e-06
fp32,tiled,col_major,right,4096,512,2,40,40,20.614445,32.55429094,1.256850958e-06
fp32,tiled,col_major,right,4096,512,3,40,40,20.592101,32.58961482,1.256850958e-06
fp32,tiled,col_major,right,4096,512,4,40,40,20.599303,32.57822073,1.256850958e-06
fp32,tiled,col_major,right,4096,512,5,40,40,20.582201,32.60529037,1.256850958e-06
